EPIC 220674823 b,00h52m19.15s,+10d47m40.9s,246.29,3.03,0.571331,0.00002,,,0.162,0.009,16,3
EPIC 220674823 c,00h52m19.15s,+10d47m40.9s,246.29,3.03,13.339079,0.00194,,,0.244,0.016,16,3
EPIC 246851721 b,05h15m40.74s,+16d16m43.5s,375.39,18.32,6.180235,0.000014,3,1.1,1.051,0.044,16,3
EPIC 248847494 b,10h37m33.42s,+11d50m33.8s,560.71,13.06,3650,1280,13,,1.11,0.07,16,3
EPIC 249893012 b,15h12m59.57s,-16d43m28.3s,324.22,4.18,3.5951,0.0003,0.02753,0.00343,0.174,0.008,16,3
EPIC 249893012 c,15h12m59.57s,-16d43m28.3s,324.22,4.18,15.624,0.001,0.04616,0.00579,0.327,0.015,16,3
EPIC 249893012 d,15h12m59.57s,-16d43m28.3s,324.22,4.18,35.747,0.005,0.03203,0.00774,0.352,0.012,16,3
FU Tau b,04h23m35.74s,+25d02m59.6s,133.5,22.96,,,16,,,,23,1
Fomalhaut b,22h57m39.05s,-29d37m20.1s,,,555530,184690,,,,,8,1
G 9-40 b,08h58m52.35s,+21d04m33.8s,27.95,0.04,5.746007,0.000006,,,0.181,0.009,16,3
GJ 1061 b,03h35m59.72s,-44d30m45.5s,3.67,0,3.204,0.001,0.00431,0.0005,,,17,0
GJ 1061 c,03h35m59.72s,-44d30m45.5s,3.67,0,6.689,0.005,0.00547,0.00072,,,17,0
GJ 1061 d,03h35m59.72s,-44d30m45.5s,3.67,0,13.031,0.025,0.00516,0.00076,,,17,0
GJ 1132 b,10h14m51.78s,-47d09m24.2s,12.62,0.01,1.628931,0.000027,0.00522,0.00072,,,7,3
GJ 1132 c,10h14m51.78s,-47d09m24.2s,12.62,0.01,8.929,0.01,0.00831,0.00138,,,17,0
GJ 1148 b,11h41m44.63s,+42d45m07.1s,11.02,0.01,41.38,0.002,0.30425,0.00444,,,3,0
GJ 1148 c,11h41m44.63s,+42d45m07.1s,11.02,0.01,532.58,4.14,0.21414,0.01545,,,24,0
GJ 1214 b,17h15m18.92s,+04d57m50.1s,14.65,0.04,1.58040456,0.00000016,0.0197,0.0027,0.254,0.018,25,3
GJ 1252 b,20h27m42.06s,-56d27m25.2s,20.38,0.02,0.5182349,0.0000063,0.00658,0.00176,0.106,0.007,22,3
GJ 1265 b,22h13m42.88s,-17d41m08.8s,10.26,0.01,3.6511,0.0012,0.02328,0.00157,,,24,0
GJ 143 b,03h26m59.22s,-63d29m56.8s,16.33,0.01,35.61253,0.0006,0.07142,0.00692,0.233,0.015,22,3
GJ 15 A b,00h18m22.89s,+44d01m22.6s,3.56,0,11.4407,0.0017,0.00953,0.00145,,,3,0
GJ 15 A c,00h18m22.89s,+44d01m22.6s,3.56,0,7600,2200,0.11327,0.07866,,,15,0
GJ 160.2 b,04h06m34.84s,-20d51m11.2s,25.88,0.04,5.2354,0.0027,0.03209,0.02265,,,4,0
GJ 163 b,04h09m15.67s,-53d22m25.3s,15.14,0.01,8.63182,0.00155,0.03335,0.00189,,,17,0
GJ 163 c,04h09m15.67s,-53d22m25.3s,15.14,0.01,25.63058,0.0255,0.0214,0.00283,,,17,0
GJ 163 d,04h09m15.67s,-53d22m25.3s,15.14,0.01,603.95116,7.55862,0.0925,0.00912,,,17,0
GJ 179 b,04h52m05.73s,+06d28m35.5s,12.36,0.01,2288,59,0.82,0.07,,,3,0
GJ 180 b,04h53m49.98s,-17d46m24.3s,11.94,0,17.133,0.003,0.02042,0.00214,,,4,0
GJ 180 c,04h53m49.98s,-17d46m24.3s,11.94,0,24.329,0.052,0.02014,0.01164,,,4,0
GJ 180 d,04h53m49.98s,-17d46m24.3s,11.94,0,106.3,0.129,0.02379,0.00337,,,19,0
GJ 229 A c,06h10m34.62s,-21d51m52.7s,5.76,0,121.995,0.161,0.02287,0.00395,,,19,0
GJ 229 b,06h10m34.62s,-21d51m52.7s,5.76,0,526.115,4.3,0.02667,0.0064,,,4,0
GJ 27.1 b,00h39m58.82s,-44d15m11.6s,23.62,0.03,15.819,0.023,0.0409,0.0129,,,4,0
GJ 273 b,07h27m24.50s,+05d13m32.8s,,,18.6498,0.0059,0.00909,0.00085,,,17,0
GJ 273 c,07h27m24.50s,+05d13m32.8s,,,4.7234,0.0004,0.00371,0.0005,,,17,0
GJ 3021 b,00h16m12.68s,-79d51m04.3s,17.56,0.01,133.71,0.2,3.37,0.09,,,17,0
GJ 3082 b,01h14m34.20s,-53d56m31.6s,16.63,0.01,11.949,0.022,0.0258,0.00535,,,19,0
GJ 3138 b,02h09m10.90s,-16d20m22.5s,28.49,0.03,1.22003,0.00006,0.0056,0.00107,,,17,0
GJ 3138 c,02h09m10.90s,-16d20m22.5s,28.49,0.03,5.974,0.001,0.01315,0.00192,,,17,0
GJ 3138 d,02h09m10.90s,-16d20m22.5s,28.49,0.03,257.8,3.6,0.03304,0.00724,,,17,0
GJ 317 b,08h40m59.22s,-23d27m22.6s,15.2,0.01,692,2,2.5,0.7,,,3,0
GJ 317 c,08h40m59.22s,-23d27m22.6s,15.2,0.01,5312,758,1.54,1.26,,,3,0
GJ 328 b,08h55m07.62s,+01d32m47.4s,20.54,0.02,4100,300,2.3,0.13,,,12,0
GJ 3293 b,04h28m35.72s,-25d10m09.5s,20.2,0.02,30.5987,0.0083,0.07406,0.00277,,,17,0
GJ 3293 c,04h28m35.72s,-25d10m09.5s,20.2,0.02,122.6196,0.2429,0.06636,0.0039,,,17,0
GJ 3293 d,04h28m35.72s,-25d10m09.5s,20.2,0.02,48.1345,0.0628,0.02391,0.0033,,,17,0
GJ 3293 e,04h28m35.72s,-25d10m09.5s,20.2,0.02,13.2543,0.0078,0.01032,0.00201,,,17,0
GJ 3323 b,05h01m57.43s,-06d56m46.5s,5.38,0,5.3636,0.0007,0.00636,0.00082,,,17,0
GJ 3323 c,05h01m57.43s,-06d56m46.5s,5.38,0,40.54,0.21,0.00727,0.00157,,,17,0
GJ 3341 b,05h15m46.72s,-31d17m45.4s,23.64,0.03,14.207,0.007,0.0208,0.0003,,,17,0
GJ 3470 b,07h59m05.84s,+15d23m29.4s,29.45,0.05,3.3366496,0.0000039,0.04373,0.00472,0.408,0.016,17,0
GJ 3512 b,08h41m20.13s,+59d29m50.6s,9.49,0.01,203.59,0.14,0.463,0.022,,,24,0
GJ 357 b,09h36m01.64s,-21d39m38.9s,9.44,0.01,3.93072,0.00008,0.00579,0.00098,0.109,0.007,22,3
GJ 357 c,09h36m01.64s,-21d39m38.9s,9.44,0.01,9.1247,0.0011,0.0107,0.00145,,,4,0
GJ 357 d,09h36m01.64s,-21d39m38.9s,9.44,0.01,55.661,0.055,0.01919,0.00315,,,4,0
GJ 3634 b,10h58m35.10s,-31d08m38.4s,20.39,0.03,2.64561,0.00066,0.026,0.013,,,17,0
GJ 3779 b,13h22m56.74s,+24d28m03.5s,13.75,0.01,3.0232,0.0013,0.02517,0.00157,,,24,0
GJ 3942 b,16h09m03.14s,+52d56m37.9s,16.94,0.01,6.905,0.04,0.02246,0.00186,,,15,0
GJ 3998 b,17h16m00.64s,+11d03m27.6s,18.16,0.02,2.64977,0.00081,0.00777,0.00085,,,15,0
GJ 3998 c,17h16m00.64s,+11d03m27.6s,18.16,0.02,13.74,0.016,0.0197,0.00249,,,15,0
GJ 411 b,11h03m20.19s,+35d58m11.6s,,,12.9532,0.0079,0.00941,0.00145,,,11,0
GJ 422 b,11h16m00.21s,-57d32m51.6s,12.67,0.01,20.129,0.005,0.03483,0.00352,,,4,0
GJ 4276 b,22h25m17.05s,+59d24m49.8s,21.35,0.02,13.352,0.003,0.05213,0.00296,,,24,0
GJ 433 b,11h35m26.95s,-32d32m23.9s,9.07,0,7.3705,0.0005,0.01901,0.00188,,,17,0
